X,Y,Z,Distance (meters)
596200.1546,5454454.482,64.24261475,19.86178105
596200.2029,5454454.475,64.23967743,19.91082248
596200.2512,5454454.468,64.23708344,19.95986392
596200.2994,5454454.461,64.23391724,20.00890535
596200.3477,5454454.454,64.23025513,20.05794679
596200.396,5454454.447,64.22868347,20.10698822
596200.4443,5454454.44,64.22561646,20.15602966
596200.4926,5454454.433,64.22561646,20.20507109
596200.5408,5454454.426,64.22219086,20.25411253
596200.5891,5454454.419,64.21839905,20.30315396
596200.6374,5454454.412,64.21612549,20.3521954
596200.6857,5454454.405,64.20582581,20.40123683
596200.734,5454454.398,64.20506287,20.45027827
596200.7822,5454454.391,64.20506287,20.4993197
596200.8305,5454454.384,64.20582581,20.54836114
596200.8788,5454454.377,64.20713806,20.59740257
596200.9271,5454454.37,64.20838928,20.646444
596200.9754,5454454.363,64.2117691,20.69548544
596201.0236,5454454.356,64.20874786,20.74452687
596201.0719,5454454.349,64.21552277,20.79356831
596201.1202,5454454.342,64.21975708,20.84260974
596201.1685,5454454.335,64.22709656,20.89165118
596201.217,5454454.335,64.23318481,20.94067754
596201.2655,5454454.334,64.24080658,20.98970391
596201.314,5454454.334,64.24887085,21.03873027
596201.3625,5454454.333,64.25667572,21.08775663
596201.411,5454454.333,64.26451874,21.136783
596201.4595,5454454.332,64.27496338,21.18580936
596201.508,5454454.332,64.28887177,21.23483573
596201.5565,5454454.331,64.30632782,21.28386209
596201.605,5454454.331,64.32512665,21.33288845
596201.6535,5454454.33,64.3483429,21.38191482
596201.702,5454454.329,64.37443542,21.43094118
596201.7505,5454454.329,64.40155029,21.47996755
596201.799,5454454.328,64.43239594,21.52899391
596201.8475,5454454.328,64.47447968,21.57802027
596201.896,5454454.327,64.50352478,21.62704664
596201.9445,5454454.327,64.51931763,21.676073
596201.993,5454454.326,64.52850342,21.72509936
596202.0415,5454454.326,64.53716278,21.77412573
596202.09,5454454.325,64.54279327,21.82315209
596202.1385,5454454.325,64.54705811,21.87217846
596202.187,5454454.324,64.5499649,21.92120482
596202.2355,5454454.323,64.55467224,21.97023118
596202.284,5454454.323,64.55541992,22.01925755
596202.3325,5454454.322,64.55741882,22.06828391
596202.381,5454454.322,64.55741882,22.11731028
596202.4295,5454454.321,64.55541992,22.16633664
596202.478,5454454.321,64.55409241,22.215363
596202.5265,5454454.32,64.54871368,22.26438937
596202.575,5454454.32,64.54071045,22.31341573
596202.6235,5454454.319,64.51539612,22.3624421
596202.672,5454454.318,64.48584747,22.41146846
596202.7205,5454454.318,64.44844818,22.46049482
596202.769,5454454.317,64.4145813,22.50952119
596202.8174,5454454.317,64.38584137,22.55854755
596202.8659,5454454.316,64.3624115,22.60757392
596202.9144,5454454.316,64.33311462,22.65660028
596202.9629,5454454.315,64.30794525,22.70562664
596203.0114,5454454.315,64.28917694,22.75465301
596203.0599,5454454.314,64.26864624,22.80367937
596203.1084,5454454.314,64.24971771,22.85270574
596203.1569,5454454.313,64.2361145,22.9017321
596203.2054,5454454.312,64.22935486,22.95075846
596203.2539,5454454.312,64.22499084,22.99978483
596203.3024,5454454.311,64.2212677,23.04881119
596203.3509,5454454.311,64.21858978,23.09783756
596203.3994,5454454.31,64.21356964,23.14686392
596203.4479,5454454.31,64.21356964,23.19589028
596203.4964,5454454.309,64.20956421,23.24491665
596203.5449,5454454.309,64.20083618,23.29394301
596203.5934,5454454.308,64.19271851,23.34296938
596203.6419,5454454.308,64.18331146,23.39199574
596203.6904,5454454.307,64.17100525,23.4410221
596203.7389,5454454.306,64.16014099,23.49004847
596203.7874,5454454.306,64.14969635,23.53907483
596203.8359,5454454.305,64.13924408,23.58810119
596203.8844,5454454.305,64.12696075,23.63712756
596203.9329,5454454.304,64.11391449,23.68615392
596203.9814,5454454.304,64.09063721,23.73518029
596204.0299,5454454.303,64.06555939,23.78420665
596204.0784,5454454.303,64.04161072,23.83323301
596204.1269,5454454.302,64.01828766,23.88225938
596204.1754,5454454.301,64.01049805,23.93128574
596204.2239,5454454.301,64.00792694,23.98031211
596204.2724,5454454.3,64.00701904,24.02933847
596204.3209,5454454.3,64.00615692,24.07836483
596204.3694,5454454.299,64.00613403,24.1273912
596204.4179,5454454.299,64.00613403,24.17641756
596204.4664,5454454.298,64.00615692,24.22544393
596204.5149,5454454.298,64.00701904,24.27447029
596204.5634,5454454.297,64.00792694,24.32349665
596204.6119,5454454.297,64.01006317,24.37252302
596204.6604,5454454.296,64.01264954,24.42154938
596204.7089,5454454.295,64.01894379,24.47057575
596204.7574,5454454.295,64.03798676,24.51960211
596204.8059,5454454.294,64.05545044,24.56862847
596204.8544,5454454.294,64.0759201,24.61765484
596204.9029,5454454.293,64.0835495,24.6666812
596204.9514,5454454.293,64.08838654,24.71570757
596204.9999,5454454.292,64.09079742,24.76473393
596205.0484,5454454.292,64.09197998,24.81376029
596205.0969,5454454.291,64.09247589,24.86278666
596205.1454,5454454.291,64.09454346,24.91181302
596205.1939,5454454.29,64.09475708,24.96083939
596205.2424,5454454.289,64.09475708,25.00986575
596205.2909,5454454.289,64.09475708,25.05889211
596205.3394,5454454.288,64.09454346,25.10791848
596205.3879,5454454.288,64.09247589,25.15694484
596205.4364,5454454.287,64.09112549,25.2059712
596205.4849,5454454.287,64.0835495,25.25499757
596205.5334,5454454.286,64.06691742,25.30402393
596205.5819,5454454.286,64.04652405,25.3530503
596205.6304,5454454.285,64.030159,25.40207666
596205.6789,5454454.284,64.01895905,25.45110302
596205.7274,5454454.284,64.01431274,25.50012939
596205.7759,5454454.283,64.01106262,25.54915575
596205.8244,5454454.283,64.00933838,25.59818212
596205.8729,5454454.282,64.00842285,25.64720848
596205.9214,5454454.282,64.00842285,25.69623484
596205.9699,5454454.281,64.00842285,25.74526121
596206.0184,5454454.281,64.00863647,25.79428757
596206.0669,5454454.28,64.00933838,25.84331394
596206.1154,5454454.28,64.00960541,25.8923403
596206.1639,5454454.279,64.01106262,25.94136666
596206.2124,5454454.278,64.01213074,25.99039303
596206.2609,5454454.278,64.01431274,26.03941939
596206.3094,5454454.277,64.01816559,26.08844576
596206.3579,5454454.277,64.02336884,26.13747212
596206.4064,5454454.276,64.02799225,26.18649848
596206.4549,5454454.276,64.03242493,26.23552485
596206.5034,5454454.275,64.03652954,26.28455121
596206.5519,5454454.275,64.04122925,26.33357758
596206.6004,5454454.274,64.04574585,26.38260394
596206.6489,5454454.273,64.05027008,26.4316303
596206.6974,5454454.273,64.05460358,26.48065667
596206.7459,5454454.272,64.05938721,26.52968303
596206.7944,5454454.272,64.06377411,26.5787094
596206.8429,5454454.271,64.06824493,26.62773576
596206.8914,5454454.271,64.07366943,26.67676212
596206.9399,5454454.27,64.07911682,26.72578849
596206.9884,5454454.27,64.0861969,26.77481485
596207.0369,5454454.269,64.0931778,26.82384121
596207.0854,5454454.269,64.09972382,26.87286758
596207.1339,5454454.268,64.10801697,26.92189394
596207.1824,5454454.267,64.11640167,26.97092031
596207.2309,5454454.267,64.12682343,27.01994667
596207.2794,5454454.266,64.13833618,27.06897303
596207.3279,5454454.266,64.14816284,27.1179994
596207.3764,5454454.265,64.15904236,27.16702576
596207.4249,5454454.265,64.17110443,27.21605213
596207.4734,5454454.264,64.18083191,27.26507849
596207.5219,5454454.264,64.19537354,27.31410485
596207.5704,5454454.263,64.20144653,27.36313122
596207.6189,5454454.263,64.21268463,27.41215758
596207.6674,5454454.262,64.22045898,27.46118395
596207.7159,5454454.261,64.23006439,27.51021031
596207.7644,5454454.261,64.24401855,27.55923667
596207.8129,5454454.26,64.2492981,27.60826304
596207.8614,5454454.26,64.25234985,27.6572894
596207.9099,5454454.259,64.25624847,27.70631577
596207.9584,5454454.259,64.25930023,27.75534213
596208.0069,5454454.258,64.26203918,27.80436849
596208.0554,5454454.258,64.26468658,27.85339486
596208.1039,5454454.257,64.26764679,27.90242122
596208.1524,5454454.256,64.26764679,27.95144759
596208.2009,5454454.256,64.26928711,28.00047395
596208.2494,5454454.255,64.27119446,28.04950031
